step,event,from_label,to_label,fund,return_percent,amount_ars,app_fee_ars,head_paid_to_date,head_remaining,app_fee_cumulative,platform_float,open_obligation_total,notes
154,split,Investment44,Investment34,Balanced Growth,15,32000,0,32000.00,83000.00,440000.00,90000.00,1338000.00,"Waterfall split 32000 ARS from Investment44 → Investment34 (32000/115000)"
155,subscription,Investment45,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,450000.00,90000.00,1478000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
156,split,Investment45,Investment34,Balanced Growth,15,83000,0,115000.00,0.00,450000.00,90000.00,1395000.00,"Waterfall split 83000 ARS from Investment45 → Investment34 (115000/115000)"
157,payout_closed,Investment45,Investment34,Balanced Growth,15,115000,0,115000.00,0.00,450000.00,90000.00,1395000.00,"Payout closed for Investment34: 115000 ARS (15%) funded via marketplace splits"
158,split,Investment45,Investment35,Aggressive Alpha,40,7000,0,7000.00,133000.00,450000.00,90000.00,1388000.00,"Waterfall split 7000 ARS from Investment45 → Investment35 (7000/140000)"
159,subscription,Investment46,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,460000.00,90000.00,1528000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
160,split,Investment46,Investment35,Aggressive Alpha,40,90000,0,97000.00,43000.00,460000.00,90000.00,1438000.00,"Waterfall split 90000 ARS from Investment46 → Investment35 (97000/140000)"
161,subscription,Investment47,platform,Growth Partners,25,100000,10000,0.00,125000.00,470000.00,90000.00,1563000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
162,split,Investment47,Investment35,Aggressive Alpha,40,43000,0,140000.00,0.00,470000.00,90000.00,1520000.00,"Waterfall split 43000 ARS from Investment47 → Investment35 (140000/140000)"
163,payout_closed,Investment47,Investment35,Aggressive Alpha,40,140000,0,140000.00,0.00,470000.00,90000.00,1520000.00,"Payout closed for Investment35: 140000 ARS (40%) funded via marketplace splits"
164,split,Investment47,Investment36,Stable Yield,10,47000,0,47000.00,63000.00,470000.00,90000.00,1473000.00,"Waterfall split 47000 ARS from Investment47 → Investment36 (47000/110000)"
165,subscription,Investment48,platform,Capital Shield,6,100000,10000,0.00,106000.00,480000.00,90000.00,1579000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
166,split,Investment48,Investment36,Stable Yield,10,63000,0,110000.00,0.00,480000.00,90000.00,1516000.00,"Waterfall split 63000 ARS from Investment48 → Investment36 (110000/110000)"
167,payout_closed,Investment48,Investment36,Stable Yield,10,110000,0,110000.00,0.00,480000.00,90000.00,1516000.00,"Payout closed for Investment36: 110000 ARS (10%) funded via marketplace splits"
168,split,Investment48,Investment37,Balanced Growth,15,27000,0,27000.00,88000.00,480000.00,90000.00,1489000.00,"Waterfall split 27000 ARS from Investment48 → Investment37 (27000/115000)"
169,subscription,Investment49,platform,Stable Yield,10,100000,10000,0.00,110000.00,490000.00,90000.00,1599000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
170,split,Investment49,Investment37,Balanced Growth,15,88000,0,115000.00,0.00,490000.00,90000.00,1511000.00,"Waterfall split 88000 ARS from Investment49 → Investment37 (115000/115000)"
171,payout_closed,Investment49,Investment37,Balanced Growth,15,115000,0,115000.00,0.00,490000.00,90000.00,1511000.00,"Payout closed for Investment37: 115000 ARS (15%) funded via marketplace splits"
172,split,Investment49,Investment38,Growth Partners,25,2000,0,2000.00,123000.00,490000.00,90000.00,1509000.00,"Waterfall split 2000 ARS from Investment49 → Investment38 (2000/125000)"
173,subscription,Investment50,platform,Balanced Growth,15,100000,10000,0.00,115000.00,500000.00,90000.00,1624000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
174,split,Investment50,Investment38,Growth Partners,25,90000,0,92000.00,33000.00,500000.00,90000.00,1534000.00,"Waterfall split 90000 ARS from Investment50 → Investment38 (92000/125000)"
175,subscription,Investment51,platform,Balanced Growth,15,100000,10000,0.00,115000.00,510000.00,90000.00,1649000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
176,split,Investment51,Investment38,Growth Partners,25,33000,0,125000.00,0.00,510000.00,90000.00,1616000.00,"Waterfall split 33000 ARS from Investment51 → Investment38 (125000/125000)"
177,payout_closed,Investment51,Investment38,Growth Partners,25,125000,0,125000.00,0.00,510000.00,90000.00,1616000.00,"Payout closed for Investment38: 125000 ARS (25%) funded via marketplace splits"
178,split,Investment51,Investment39,Aggressive Alpha,40,57000,0,57000.00,83000.00,510000.00,90000.00,1559000.00,"Waterfall split 57000 ARS from Investment51 → Investment39 (57000/140000)"
179,subscription,Investment52,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,520000.00,90000.00,1699000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
180,split,Investment52,Investment39,Aggressive Alpha,40,83000,0,140000.00,0.00,520000.00,90000.00,1616000.00,"Waterfall split 83000 ARS from Investment52 → Investment39 (140000/140000)"
181,payout_closed,Investment52,Investment39,Aggressive Alpha,40,140000,0,140000.00,0.00,520000.00,90000.00,1616000.00,"Payout closed for Investment39: 140000 ARS (40%) funded via marketplace splits"
182,split,Investment52,Investment40,Growth Partners,25,7000,0,7000.00,118000.00,520000.00,90000.00,1609000.00,"Waterfall split 7000 ARS from Investment52 → Investment40 (7000/125000)"
183,subscription,Investment53,platform,Capital Shield,6,100000,10000,0.00,106000.00,530000.00,90000.00,1715000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
184,split,Investment53,Investment40,Growth Partners,25,90000,0,97000.00,28000.00,530000.00,90000.00,1625000.00,"Waterfall split 90000 ARS from Investment53 → Investment40 (97000/125000)"
185,subscription,Investment54,platform,Capital Shield,6,100000,10000,0.00,106000.00,540000.00,90000.00,1731000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
186,split,Investment54,Investment40,Growth Partners,25,28000,0,125000.00,0.00,540000.00,90000.00,1703000.00,"Waterfall split 28000 ARS from Investment54 → Investment40 (125000/125000)"
187,payout_closed,Investment54,Investment40,Growth Partners,25,125000,0,125000.00,0.00,540000.00,90000.00,1703000.00,"Payout closed for Investment40: 125000 ARS (25%) funded via marketplace splits"
188,split,Investment54,Investment41,Stable Yield,10,62000,0,62000.00,48000.00,540000.00,90000.00,1641000.00,"Waterfall split 62000 ARS from Investment54 → Investment41 (62000/110000)"
189,subscription,Investment55,platform,Growth Partners,25,100000,10000,0.00,125000.00,550000.00,90000.00,1766000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
190,split,Investment55,Investment41,Stable Yield,10,48000,0,110000.00,0.00,550000.00,90000.00,1718000.00,"Waterfall split 48000 ARS from Investment55 → Investment41 (110000/110000)"
191,payout_closed,Investment55,Investment41,Stable Yield,10,110000,0,110000.00,0.00,550000.00,90000.00,1718000.00,"Payout closed for Investment41: 110000 ARS (10%) funded via marketplace splits"
192,split,Investment55,Investment42,Growth Partners,25,42000,0,42000.00,83000.00,550000.00,90000.00,1676000.00,"Waterfall split 42000 ARS from Investment55 → Investment42 (42000/125000)"
193,subscription,Investment56,platform,Capital Shield,6,100000,10000,0.00,106000.00,560000.00,90000.00,1782000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
194,split,Investment56,Investment42,Growth Partners,25,83000,0,125000.00,0.00,560000.00,90000.00,1699000.00,"Waterfall split 83000 ARS from Investment56 → Investment42 (125000/125000)"
195,payout_closed,Investment56,Investment42,Growth Partners,25,125000,0,125000.00,0.00,560000.00,90000.00,1699000.00,"Payout closed for Investment42: 125000 ARS (25%) funded via marketplace splits"
196,split,Investment56,Investment43,Growth Partners,25,7000,0,7000.00,118000.00,560000.00,90000.00,1692000.00,"Waterfall split 7000 ARS from Investment56 → Investment43 (7000/125000)"
197,subscription,Investment57,platform,Stable Yield,10,100000,10000,0.00,110000.00,570000.00,90000.00,1802000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
198,split,Investment57,Investment43,Growth Partners,25,90000,0,97000.00,28000.00,570000.00,90000.00,1712000.00,"Waterfall split 90000 ARS from Investment57 → Investment43 (97000/125000)"
199,subscription,Investment58,platform,Growth Partners,25,100000,10000,0.00,125000.00,580000.00,90000.00,1837000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
200,split,Investment58,Investment43,Growth Partners,25,28000,0,125000.00,0.00,580000.00,90000.00,1809000.00,"Waterfall split 28000 ARS from Investment58 → Investment43 (125000/125000)"
201,payout_closed,Investment58,Investment43,Growth Partners,25,125000,0,125000.00,0.00,580000.00,90000.00,1809000.00,"Payout closed for Investment43: 125000 ARS (25%) funded via marketplace splits"
202,split,Investment58,Investment44,Aggressive Alpha,40,62000,0,62000.00,78000.00,580000.00,90000.00,1747000.00,"Waterfall split 62000 ARS from Investment58 → Investment44 (62000/140000)"
203,subscription,Investment59,platform,Growth Partners,25,100000,10000,0.00,125000.00,590000.00,90000.00,1872000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
204,split,Investment59,Investment44,Aggressive Alpha,40,78000,0,140000.00,0.00,590000.00,90000.00,1794000.00,"Waterfall split 78000 ARS from Investment59 → Investment44 (140000/140000)"
205,payout_closed,Investment59,Investment44,Aggressive Alpha,40,140000,0,140000.00,0.00,590000.00,90000.00,1794000.00,"Payout closed for Investment44: 140000 ARS (40%) funded via marketplace splits"
206,split,Investment59,Investment45,Aggressive Alpha,40,12000,0,12000.00,128000.00,590000.00,90000.00,1782000.00,"Waterfall split 12000 ARS from Investment59 → Investment45 (12000/140000)"
207,subscription,Investment60,platform,Stable Yield,10,100000,10000,0.00,110000.00,600000.00,90000.00,1892000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
208,split,Investment60,Investment45,Aggressive Alpha,40,90000,0,102000.00,38000.00,600000.00,90000.00,1802000.00,"Waterfall split 90000 ARS from Investment60 → Investment45 (102000/140000)"
209,subscription,Investment61,platform,Capital Shield,6,100000,10000,0.00,106000.00,610000.00,90000.00,1908000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
210,split,Investment61,Investment45,Aggressive Alpha,40,38000,0,140000.00,0.00,610000.00,90000.00,1870000.00,"Waterfall split 38000 ARS from Investment61 → Investment45 (140000/140000)"
211,payout_closed,Investment61,Investment45,Aggressive Alpha,40,140000,0,140000.00,0.00,610000.00,90000.00,1870000.00,"Payout closed for Investment45: 140000 ARS (40%) funded via marketplace splits"
212,split,Investment61,Investment46,Aggressive Alpha,40,52000,0,52000.00,88000.00,610000.00,90000.00,1818000.00,"Waterfall split 52000 ARS from Investment61 → Investment46 (52000/140000)"
213,subscription,Investment62,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,620000.00,90000.00,1958000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
214,split,Investment62,Investment46,Aggressive Alpha,40,88000,0,140000.00,0.00,620000.00,90000.00,1870000.00,"Waterfall split 88000 ARS from Investment62 → Investment46 (140000/140000)"
215,payout_closed,Investment62,Investment46,Aggressive Alpha,40,140000,0,140000.00,0.00,620000.00,90000.00,1870000.00,"Payout closed for Investment46: 140000 ARS (40%) funded via marketplace splits"
216,split,Investment62,Investment47,Growth Partners,25,2000,0,2000.00,123000.00,620000.00,90000.00,1868000.00,"Waterfall split 2000 ARS from Investment62 → Investment47 (2000/125000)"
217,subscription,Investment63,platform,Stable Yield,10,100000,10000,0.00,110000.00,630000.00,90000.00,1978000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
218,split,Investment63,Investment47,Growth Partners,25,90000,0,92000.00,33000.00,630000.00,90000.00,1888000.00,"Waterfall split 90000 ARS from Investment63 → Investment47 (92000/125000)"
219,subscription,Investment64,platform,Stable Yield,10,100000,10000,0.00,110000.00,640000.00,90000.00,1998000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
220,split,Investment64,Investment47,Growth Partners,25,33000,0,125000.00,0.00,640000.00,90000.00,1965000.00,"Waterfall split 33000 ARS from Investment64 → Investment47 (125000/125000)"
221,payout_closed,Investment64,Investment47,Growth Partners,25,125000,0,125000.00,0.00,640000.00,90000.00,1965000.00,"Payout closed for Investment47: 125000 ARS (25%) funded via marketplace splits"
222,split,Investment64,Investment48,Capital Shield,6,57000,0,57000.00,49000.00,640000.00,90000.00,1908000.00,"Waterfall split 57000 ARS from Investment64 → Investment48 (57000/106000)"
223,subscription,Investment65,platform,Stable Yield,10,100000,10000,0.00,110000.00,650000.00,90000.00,2018000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
224,split,Investment65,Investment48,Capital Shield,6,49000,0,106000.00,0.00,650000.00,90000.00,1969000.00,"Waterfall split 49000 ARS from Investment65 → Investment48 (106000/106000)"
225,payout_closed,Investment65,Investment48,Capital Shield,6,106000,0,106000.00,0.00,650000.00,90000.00,1969000.00,"Payout closed for Investment48: 106000 ARS (6%) funded via marketplace splits"
226,split,Investment65,Investment49,Stable Yield,10,41000,0,41000.00,69000.00,650000.00,90000.00,1928000.00,"Waterfall split 41000 ARS from Investment65 → Investment49 (41000/110000)"
227,subscription,Investment66,platform,Balanced Growth,15,100000,10000,0.00,115000.00,660000.00,90000.00,2043000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
228,split,Investment66,Investment49,Stable Yield,10,69000,0,110000.00,0.00,660000.00,90000.00,1974000.00,"Waterfall split 69000 ARS from Investment66 → Investment49 (110000/110000)"
229,payout_closed,Investment66,Investment49,Stable Yield,10,110000,0,110000.00,0.00,660000.00,90000.00,1974000.00,"Payout closed for Investment49: 110000 ARS (10%) funded via marketplace splits"
230,split,Investment66,Investment50,Balanced Growth,15,21000,0,21000.00,94000.00,660000.00,90000.00,1953000.00,"Waterfall split 21000 ARS from Investment66 → Investment50 (21000/115000)"
231,subscription,Investment67,platform,Growth Partners,25,100000,10000,0.00,125000.00,670000.00,90000.00,2078000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
232,split,Investment67,Investment50,Balanced Growth,15,90000,0,111000.00,4000.00,670000.00,90000.00,1988000.00,"Waterfall split 90000 ARS from Investment67 → Investment50 (111000/115000)"
233,subscription,Investment68,platform,Stable Yield,10,100000,10000,0.00,110000.00,680000.00,90000.00,2098000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
234,split,Investment68,Investment50,Balanced Growth,15,4000,0,115000.00,0.00,680000.00,90000.00,2094000.00,"Waterfall split 4000 ARS from Investment68 → Investment50 (115000/115000)"
235,payout_closed,Investment68,Investment50,Balanced Growth,15,115000,0,115000.00,0.00,680000.00,90000.00,2094000.00,"Payout closed for Investment50: 115000 ARS (15%) funded via marketplace splits"
236,split,Investment68,Investment51,Balanced Growth,15,86000,0,86000.00,29000.00,680000.00,90000.00,2008000.00,"Waterfall split 86000 ARS from Investment68 → Investment51 (86000/115000)"
237,subscription,Investment69,platform,Growth Partners,25,100000,10000,0.00,125000.00,690000.00,90000.00,2133000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
238,split,Investment69,Investment51,Balanced Growth,15,29000,0,115000.00,0.00,690000.00,90000.00,2104000.00,"Waterfall split 29000 ARS from Investment69 → Investment51 (115000/115000)"
239,payout_closed,Investment69,Investment51,Balanced Growth,15,115000,0,115000.00,0.00,690000.00,90000.00,2104000.00,"Payout closed for Investment51: 115000 ARS (15%) funded via marketplace splits"
240,split,Investment69,Investment52,Aggressive Alpha,40,61000,0,61000.00,79000.00,690000.00,90000.00,2043000.00,"Waterfall split 61000 ARS from Investment69 → Investment52 (61000/140000)"
241,subscription,Investment70,platform,Growth Partners,25,100000,10000,0.00,125000.00,700000.00,90000.00,2168000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
242,split,Investment70,Investment52,Aggressive Alpha,40,79000,0,140000.00,0.00,700000.00,90000.00,2089000.00,"Waterfall split 79000 ARS from Investment70 → Investment52 (140000/140000)"
243,payout_closed,Investment70,Investment52,Aggressive Alpha,40,140000,0,140000.00,0.00,700000.00,90000.00,2089000.00,"Payout closed for Investment52: 140000 ARS (40%) funded via marketplace splits"
244,split,Investment70,Investment53,Capital Shield,6,11000,0,11000.00,95000.00,700000.00,90000.00,2078000.00,"Waterfall split 11000 ARS from Investment70 → Investment53 (11000/106000)"
245,subscription,Investment71,platform,Balanced Growth,15,100000,10000,0.00,115000.00,710000.00,90000.00,2193000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
246,split,Investment71,Investment53,Capital Shield,6,90000,0,101000.00,5000.00,710000.00,90000.00,2103000.00,"Waterfall split 90000 ARS from Investment71 → Investment53 (101000/106000)"
247,subscription,Investment72,platform,Balanced Growth,15,100000,10000,0.00,115000.00,720000.00,90000.00,2218000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
248,split,Investment72,Investment53,Capital Shield,6,5000,0,106000.00,0.00,720000.00,90000.00,2213000.00,"Waterfall split 5000 ARS from Investment72 → Investment53 (106000/106000)"
249,payout_closed,Investment72,Investment53,Capital Shield,6,106000,0,106000.00,0.00,720000.00,90000.00,2213000.00,"Payout closed for Investment53: 106000 ARS (6%) funded via marketplace splits"
250,split,Investment72,Investment54,Capital Shield,6,85000,0,85000.00,21000.00,720000.00,90000.00,2128000.00,"Waterfall split 85000 ARS from Investment72 → Investment54 (85000/106000)"
251,subscription,Investment73,platform,Growth Partners,25,100000,10000,0.00,125000.00,730000.00,90000.00,2253000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
252,split,Investment73,Investment54,Capital Shield,6,21000,0,106000.00,0.00,730000.00,90000.00,2232000.00,"Waterfall split 21000 ARS from Investment73 → Investment54 (106000/106000)"
253,payout_closed,Investment73,Investment54,Capital Shield,6,106000,0,106000.00,0.00,730000.00,90000.00,2232000.00,"Payout closed for Investment54: 106000 ARS (6%) funded via marketplace splits"
254,split,Investment73,Investment55,Growth Partners,25,69000,0,69000.00,56000.00,730000.00,90000.00,2163000.00,"Waterfall split 69000 ARS from Investment73 → Investment55 (69000/125000)"
255,subscription,Investment74,platform,Capital Shield,6,100000,10000,0.00,106000.00,740000.00,90000.00,2269000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
256,split,Investment74,Investment55,Growth Partners,25,56000,0,125000.00,0.00,740000.00,90000.00,2213000.00,"Waterfall split 56000 ARS from Investment74 → Investment55 (125000/125000)"
257,payout_closed,Investment74,Investment55,Growth Partners,25,125000,0,125000.00,0.00,740000.00,90000.00,2213000.00,"Payout closed for Investment55: 125000 ARS (25%) funded via marketplace splits"
258,split,Investment74,Investment56,Capital Shield,6,34000,0,34000.00,72000.00,740000.00,90000.00,2179000.00,"Waterfall split 34000 ARS from Investment74 → Investment56 (34000/106000)"
259,subscription,Investment75,platform,Balanced Growth,15,100000,10000,0.00,115000.00,750000.00,90000.00,2294000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
260,split,Investment75,Investment56,Capital Shield,6,72000,0,106000.00,0.00,750000.00,90000.00,2222000.00,"Waterfall split 72000 ARS from Investment75 → Investment56 (106000/106000)"
261,payout_closed,Investment75,Investment56,Capital Shield,6,106000,0,106000.00,0.00,750000.00,90000.00,2222000.00,"Payout closed for Investment56: 106000 ARS (6%) funded via marketplace splits"
262,split,Investment75,Investment57,Stable Yield,10,18000,0,18000.00,92000.00,750000.00,90000.00,2204000.00,"Waterfall split 18000 ARS from Investment75 → Investment57 (18000/110000)"
263,subscription,Investment76,platform,Capital Shield,6,100000,10000,0.00,106000.00,760000.00,90000.00,2310000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
264,split,Investment76,Investment57,Stable Yield,10,90000,0,108000.00,2000.00,760000.00,90000.00,2220000.00,"Waterfall split 90000 ARS from Investment76 → Investment57 (108000/110000)"
265,subscription,Investment77,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,770000.00,90000.00,2360000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
266,split,Investment77,Investment57,Stable Yield,10,2000,0,110000.00,0.00,770000.00,90000.00,2358000.00,"Waterfall split 2000 ARS from Investment77 → Investment57 (110000/110000)"
267,payout_closed,Investment77,Investment57,Stable Yield,10,110000,0,110000.00,0.00,770000.00,90000.00,2358000.00,"Payout closed for Investment57: 110000 ARS (10%) funded via marketplace splits"
268,split,Investment77,Investment58,Growth Partners,25,88000,0,88000.00,37000.00,770000.00,90000.00,2270000.00,"Waterfall split 88000 ARS from Investment77 → Investment58 (88000/125000)"
269,subscription,Investment78,platform,Growth Partners,25,100000,10000,0.00,125000.00,780000.00,90000.00,2395000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
270,split,Investment78,Investment58,Growth Partners,25,37000,0,125000.00,0.00,780000.00,90000.00,2358000.00,"Waterfall split 37000 ARS from Investment78 → Investment58 (125000/125000)"
271,payout_closed,Investment78,Investment58,Growth Partners,25,125000,0,125000.00,0.00,780000.00,90000.00,2358000.00,"Payout closed for Investment58: 125000 ARS (25%) funded via marketplace splits"
272,split,Investment78,Investment59,Growth Partners,25,53000,0,53000.00,72000.00,780000.00,90000.00,2305000.00,"Waterfall split 53000 ARS from Investment78 → Investment59 (53000/125000)"
273,subscription,Investment79,platform,Growth Partners,25,100000,10000,0.00,125000.00,790000.00,90000.00,2430000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
274,split,Investment79,Investment59,Growth Partners,25,72000,0,125000.00,0.00,790000.00,90000.00,2358000.00,"Waterfall split 72000 ARS from Investment79 → Investment59 (125000/125000)"
275,payout_closed,Investment79,Investment59,Growth Partners,25,125000,0,125000.00,0.00,790000.00,90000.00,2358000.00,"Payout closed for Investment59: 125000 ARS (25%) funded via marketplace splits"
276,split,Investment79,Investment60,Stable Yield,10,18000,0,18000.00,92000.00,790000.00,90000.00,2340000.00,"Waterfall split 18000 ARS from Investment79 → Investment60 (18000/110000)"
277,subscription,Investment80,platform,Growth Partners,25,100000,10000,0.00,125000.00,800000.00,90000.00,2465000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
278,split,Investment80,Investment60,Stable Yield,10,90000,0,108000.00,2000.00,800000.00,90000.00,2375000.00,"Waterfall split 90000 ARS from Investment80 → Investment60 (108000/110000)"
279,subscription,Investment81,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,810000.00,90000.00,2515000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
280,split,Investment81,Investment60,Stable Yield,10,2000,0,110000.00,0.00,810000.00,90000.00,2513000.00,"Waterfall split 2000 ARS from Investment81 → Investment60 (110000/110000)"
281,payout_closed,Investment81,Investment60,Stable Yield,10,110000,0,110000.00,0.00,810000.00,90000.00,2513000.00,"Payout closed for Investment60: 110000 ARS (10%) funded via marketplace splits"
282,split,Investment81,Investment61,Capital Shield,6,88000,0,88000.00,18000.00,810000.00,90000.00,2425000.00,"Waterfall split 88000 ARS from Investment81 → Investment61 (88000/106000)"
283,subscription,Investment82,platform,Stable Yield,10,100000,10000,0.00,110000.00,820000.00,90000.00,2535000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
284,split,Investment82,Investment61,Capital Shield,6,18000,0,106000.00,0.00,820000.00,90000.00,2517000.00,"Waterfall split 18000 ARS from Investment82 → Investment61 (106000/106000)"
285,payout_closed,Investment82,Investment61,Capital Shield,6,106000,0,106000.00,0.00,820000.00,90000.00,2517000.00,"Payout closed for Investment61: 106000 ARS (6%) funded via marketplace splits"
286,split,Investment82,Investment62,Aggressive Alpha,40,72000,0,72000.00,68000.00,820000.00,90000.00,2445000.00,"Waterfall split 72000 ARS from Investment82 → Investment62 (72000/140000)"
287,subscription,Investment83,platform,Capital Shield,6,100000,10000,0.00,106000.00,830000.00,90000.00,2551000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
288,split,Investment83,Investment62,Aggressive Alpha,40,68000,0,140000.00,0.00,830000.00,90000.00,2483000.00,"Waterfall split 68000 ARS from Investment83 → Investment62 (140000/140000)"
289,payout_closed,Investment83,Investment62,Aggressive Alpha,40,140000,0,140000.00,0.00,830000.00,90000.00,2483000.00,"Payout closed for Investment62: 140000 ARS (40%) funded via marketplace splits"
290,split,Investment83,Investment63,Stable Yield,10,22000,0,22000.00,88000.00,830000.00,90000.00,2461000.00,"Waterfall split 22000 ARS from Investment83 → Investment63 (22000/110000)"
291,subscription,Investment84,platform,Growth Partners,25,100000,10000,0.00,125000.00,840000.00,90000.00,2586000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
292,split,Investment84,Investment63,Stable Yield,10,88000,0,110000.00,0.00,840000.00,90000.00,2498000.00,"Waterfall split 88000 ARS from Investment84 → Investment63 (110000/110000)"
293,payout_closed,Investment84,Investment63,Stable Yield,10,110000,0,110000.00,0.00,840000.00,90000.00,2498000.00,"Payout closed for Investment63: 110000 ARS (10%) funded via marketplace splits"
294,split,Investment84,Investment64,Stable Yield,10,2000,0,2000.00,108000.00,840000.00,90000.00,2496000.00,"Waterfall split 2000 ARS from Investment84 → Investment64 (2000/110000)"
295,subscription,Investment85,platform,Growth Partners,25,100000,10000,0.00,125000.00,850000.00,90000.00,2621000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
296,split,Investment85,Investment64,Stable Yield,10,90000,0,92000.00,18000.00,850000.00,90000.00,2531000.00,"Waterfall split 90000 ARS from Investment85 → Investment64 (92000/110000)"
297,subscription,Investment86,platform,Growth Partners,25,100000,10000,0.00,125000.00,860000.00,90000.00,2656000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
298,split,Investment86,Investment64,Stable Yield,10,18000,0,110000.00,0.00,860000.00,90000.00,2638000.00,"Waterfall split 18000 ARS from Investment86 → Investment64 (110000/110000)"
299,payout_closed,Investment86,Investment64,Stable Yield,10,110000,0,110000.00,0.00,860000.00,90000.00,2638000.00,"Payout closed for Investment64: 110000 ARS (10%) funded via marketplace splits"
300,split,Investment86,Investment65,Stable Yield,10,72000,0,72000.00,38000.00,860000.00,90000.00,2566000.00,"Waterfall split 72000 ARS from Investment86 → Investment65 (72000/110000)"
301,subscription,Investment87,platform,Capital Shield,6,100000,10000,0.00,106000.00,870000.00,90000.00,2672000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
302,split,Investment87,Investment65,Stable Yield,10,38000,0,110000.00,0.00,870000.00,90000.00,2634000.00,"Waterfall split 38000 ARS from Investment87 → Investment65 (110000/110000)"
303,payout_closed,Investment87,Investment65,Stable Yield,10,110000,0,110000.00,0.00,870000.00,90000.00,2634000.00,"Payout closed for Investment65: 110000 ARS (10%) funded via marketplace splits"
304,split,Investment87,Investment66,Balanced Growth,15,52000,0,52000.00,63000.00,870000.00,90000.00,2582000.00,"Waterfall split 52000 ARS from Investment87 → Investment66 (52000/115000)"
305,subscription,Investment88,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,880000.00,90000.00,2722000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
